nr	name	class	rationale
0	read	A	passthrough: sys_call_table[nr]
1	write	A	passthrough: sys_call_table[nr]
2	open	A	passthrough: sys_call_table[nr]
3	close	A	passthrough: sys_call_table[nr]
4	stat	A	passthrough: sys_call_table[nr]
5	fstat	A	passthrough: sys_call_table[nr]
6	lstat	A	passthrough: sys_call_table[nr]
7	poll	A	passthrough: sys_call_table[nr]
8	lseek	A	passthrough: sys_call_table[nr]
9	mmap	A	passthrough: sys_call_table[nr]
10	mprotect	A	passthrough: sys_call_table[nr]
11	munmap	A	passthrough: sys_call_table[nr]
12	brk	A	passthrough: sys_call_table[nr]
13	rt_sigaction	A	passthrough: sys_call_table[nr]
14	rt_sigprocmask	A	passthrough: sys_call_table[nr]
15	rt_sigreturn	C	signal frame restore: KVM_GET_REGS -> rebuild -> KVM_SET_REGS
16	ioctl	A	passthrough: sys_call_table[nr]
17	pread64	A	passthrough: sys_call_table[nr]
18	pwrite64	A	passthrough: sys_call_table[nr]
19	readv	A	passthrough: sys_call_table[nr]
20	writev	A	passthrough: sys_call_table[nr]
21	access	A	passthrough: sys_call_table[nr]
22	pipe	A	passthrough: sys_call_table[nr]
23	select	A	passthrough: sys_call_table[nr]
24	sched_yield	A	passthrough: sys_call_table[nr] (G5 demoted from gadget — POSIX-advisory; route to scheduler via VMEXIT)
25	mremap	A	passthrough: sys_call_table[nr]
26	msync	A	passthrough: sys_call_table[nr]
27	mincore	A	passthrough: sys_call_table[nr]
28	madvise	A	passthrough: sys_call_table[nr]
29	shmget	A	passthrough: sys_call_table[nr]
30	shmat	A	passthrough: sys_call_table[nr]
31	shmctl	A	passthrough: sys_call_table[nr]
32	dup	A	passthrough: sys_call_table[nr]
33	dup2	A	passthrough: sys_call_table[nr]
34	pause	A	passthrough: sys_call_table[nr]
35	nanosleep	A	passthrough: sys_call_table[nr]
36	getitimer	A	passthrough: sys_call_table[nr]
37	alarm	A	passthrough: sys_call_table[nr]
38	setitimer	A	passthrough: sys_call_table[nr]
39	getpid	E	gadget fast path: in-guest LSTAR handler, fallback is passthrough
40	sendfile	A	passthrough: sys_call_table[nr]
41	socket	A	passthrough: sys_call_table[nr]
42	connect	A	passthrough: sys_call_table[nr]
43	accept	A	passthrough: sys_call_table[nr]
44	sendto	A	passthrough: sys_call_table[nr]
45	recvfrom	A	passthrough: sys_call_table[nr]
46	sendmsg	A	passthrough: sys_call_table[nr]
47	recvmsg	A	passthrough: sys_call_table[nr]
48	shutdown	A	passthrough: sys_call_table[nr]
49	bind	A	passthrough: sys_call_table[nr]
50	listen	A	passthrough: sys_call_table[nr]
51	getsockname	A	passthrough: sys_call_table[nr]
52	getpeername	A	passthrough: sys_call_table[nr]
53	socketpair	A	passthrough: sys_call_table[nr]
54	setsockopt	A	passthrough: sys_call_table[nr]
55	getsockopt	A	passthrough: sys_call_table[nr]
56	clone	A	passthrough: sys_call_table[nr]
57	fork	A	passthrough: sys_call_table[nr]
58	vfork	A	passthrough: sys_call_table[nr]
59	execve	A	passthrough: sys_call_table[nr]
60	exit	A	passthrough: sys_call_table[nr]
61	wait4	A	passthrough: sys_call_table[nr]
62	kill	A	passthrough: sys_call_table[nr]
63	uname	A	passthrough: sys_call_table[nr]
64	semget	A	passthrough: sys_call_table[nr]
65	semop	A	passthrough: sys_call_table[nr]
66	semctl	A	passthrough: sys_call_table[nr]
67	shmdt	A	passthrough: sys_call_table[nr]
68	msgget	A	passthrough: sys_call_table[nr]
69	msgsnd	A	passthrough: sys_call_table[nr]
70	msgrcv	A	passthrough: sys_call_table[nr]
71	msgctl	A	passthrough: sys_call_table[nr]
72	fcntl	A	passthrough: sys_call_table[nr]
73	flock	A	passthrough: sys_call_table[nr]
74	fsync	A	passthrough: sys_call_table[nr]
75	fdatasync	A	passthrough: sys_call_table[nr]
76	truncate	A	passthrough: sys_call_table[nr]
77	ftruncate	A	passthrough: sys_call_table[nr]
78	getdents	A	passthrough: sys_call_table[nr]
79	getcwd	A	passthrough: sys_call_table[nr]
80	chdir	A	passthrough: sys_call_table[nr]
81	fchdir	A	passthrough: sys_call_table[nr]
82	rename	A	passthrough: sys_call_table[nr]
83	mkdir	A	passthrough: sys_call_table[nr]
84	rmdir	A	passthrough: sys_call_table[nr]
85	creat	A	passthrough: sys_call_table[nr]
86	link	A	passthrough: sys_call_table[nr]
87	unlink	A	passthrough: sys_call_table[nr]
88	symlink	A	passthrough: sys_call_table[nr]
89	readlink	A	passthrough: sys_call_table[nr]
90	chmod	A	passthrough: sys_call_table[nr]
91	fchmod	A	passthrough: sys_call_table[nr]
92	chown	A	passthrough: sys_call_table[nr]
93	fchown	A	passthrough: sys_call_table[nr]
94	lchown	A	passthrough: sys_call_table[nr]
95	umask	A	passthrough: sys_call_table[nr]
96	gettimeofday	A	passthrough: sys_call_table[nr]
97	getrlimit	A	passthrough: sys_call_table[nr]
98	getrusage	A	passthrough: sys_call_table[nr]
99	sysinfo	A	passthrough: sys_call_table[nr]
100	times	A	passthrough: sys_call_table[nr]
101	ptrace	D	trap: UML emulates ptrace at its own layer; guest-issued ptrace is a bypass vector
102	getuid	E	gadget fast path: in-guest LSTAR handler, fallback is passthrough
103	syslog	A	passthrough: sys_call_table[nr]
104	getgid	E	gadget fast path: in-guest LSTAR handler, fallback is passthrough
105	setuid	A	passthrough: sys_call_table[nr]
106	setgid	A	passthrough: sys_call_table[nr]
107	geteuid	E	gadget fast path: in-guest LSTAR handler, fallback is passthrough
108	getegid	E	gadget fast path: in-guest LSTAR handler, fallback is passthrough
109	setpgid	A	passthrough: sys_call_table[nr]
110	getppid	E	gadget fast path: in-guest LSTAR handler, fallback is passthrough
111	getpgrp	A	passthrough: sys_call_table[nr]
112	setsid	A	passthrough: sys_call_table[nr]
113	setreuid	A	passthrough: sys_call_table[nr]
114	setregid	A	passthrough: sys_call_table[nr]
115	getgroups	A	passthrough: sys_call_table[nr]
116	setgroups	A	passthrough: sys_call_table[nr]
117	setresuid	A	passthrough: sys_call_table[nr]
118	getresuid	A	passthrough: sys_call_table[nr]
119	setresgid	A	passthrough: sys_call_table[nr]
120	getresgid	A	passthrough: sys_call_table[nr]
121	getpgid	A	passthrough: sys_call_table[nr]
122	setfsuid	A	passthrough: sys_call_table[nr]
123	setfsgid	A	passthrough: sys_call_table[nr]
124	getsid	A	passthrough: sys_call_table[nr]
125	capget	A	passthrough: sys_call_table[nr]
126	capset	A	passthrough: sys_call_table[nr]
127	rt_sigpending	A	passthrough: sys_call_table[nr]
128	rt_sigtimedwait	A	passthrough: sys_call_table[nr]
129	rt_sigqueueinfo	A	passthrough: sys_call_table[nr]
130	rt_sigsuspend	A	passthrough: sys_call_table[nr]
131	sigaltstack	A	passthrough; sigaltstack is host-task state, handled by UML signal layer
132	utime	A	passthrough: sys_call_table[nr]
133	mknod	A	passthrough: sys_call_table[nr]
134	uselib	A	passthrough: sys_call_table[nr]
135	personality	A	passthrough: sys_call_table[nr]
136	ustat	A	passthrough: sys_call_table[nr]
137	statfs	A	passthrough: sys_call_table[nr]
138	fstatfs	A	passthrough: sys_call_table[nr]
139	sysfs	A	passthrough: sys_call_table[nr]
140	getpriority	A	passthrough: sys_call_table[nr]
141	setpriority	A	passthrough: sys_call_table[nr]
142	sched_setparam	A	passthrough: sys_call_table[nr]
143	sched_getparam	A	passthrough: sys_call_table[nr]
144	sched_setscheduler	A	passthrough: sys_call_table[nr]
145	sched_getscheduler	A	passthrough: sys_call_table[nr]
146	sched_get_priority_max	A	passthrough: sys_call_table[nr]
147	sched_get_priority_min	A	passthrough: sys_call_table[nr]
148	sched_rr_get_interval	A	passthrough: sys_call_table[nr]
149	mlock	A	passthrough: sys_call_table[nr]
150	munlock	A	passthrough: sys_call_table[nr]
151	mlockall	A	passthrough: sys_call_table[nr]
152	munlockall	A	passthrough: sys_call_table[nr]
153	vhangup	A	passthrough: sys_call_table[nr]
154	modify_ldt	D	trap: UML KVM backend does not virtualize LDT via KVM; sys_modify_ldt demoted to -EPERM under audit round-5 F10
155	pivot_root	A	passthrough: sys_call_table[nr]
156	_sysctl	A	passthrough: sys_call_table[nr]
157	prctl	A	passthrough: sys_call_table[nr]
158	arch_prctl	B	MSR_FS_BASE / MSR_GS_BASE propagation to vCPU
159	adjtimex	A	passthrough: sys_call_table[nr]
160	setrlimit	A	passthrough: sys_call_table[nr]
161	chroot	A	passthrough: sys_call_table[nr]
162	sync	A	passthrough: sys_call_table[nr]
163	acct	A	passthrough: sys_call_table[nr]
164	settimeofday	A	passthrough: sys_call_table[nr]
165	mount	A	passthrough: sys_call_table[nr]
166	umount2	A	passthrough: sys_call_table[nr]
167	swapon	A	passthrough: sys_call_table[nr]
168	swapoff	A	passthrough: sys_call_table[nr]
169	reboot	D	trap: privileged + would attempt to reset the host vCPU
170	sethostname	A	passthrough: sys_call_table[nr]
171	setdomainname	A	passthrough: sys_call_table[nr]
172	iopl	A	passthrough: sys_call_table[nr]
173	ioperm	A	passthrough: sys_call_table[nr]
174	create_module	A	passthrough: sys_call_table[nr]
175	init_module	D	trap: module loading is privileged + meaningless in guest userspace
176	delete_module	D	trap: module loading is privileged + meaningless in guest userspace
177	get_kernel_syms	A	passthrough: sys_call_table[nr]
178	query_module	A	passthrough: sys_call_table[nr]
179	quotactl	A	passthrough: sys_call_table[nr]
180	nfsservctl	A	passthrough: sys_call_table[nr]
181	getpmsg	A	passthrough: sys_call_table[nr]
182	putpmsg	A	passthrough: sys_call_table[nr]
183	afs_syscall	A	passthrough: sys_call_table[nr]
184	tuxcall	A	passthrough: sys_call_table[nr]
185	security	A	passthrough: sys_call_table[nr]
186	gettid	E	gadget fast path: in-guest LSTAR handler, fallback is passthrough
187	readahead	A	passthrough: sys_call_table[nr]
188	setxattr	A	passthrough: sys_call_table[nr]
189	lsetxattr	A	passthrough: sys_call_table[nr]
190	fsetxattr	A	passthrough: sys_call_table[nr]
191	getxattr	A	passthrough: sys_call_table[nr]
192	lgetxattr	A	passthrough: sys_call_table[nr]
193	fgetxattr	A	passthrough: sys_call_table[nr]
194	listxattr	A	passthrough: sys_call_table[nr]
195	llistxattr	A	passthrough: sys_call_table[nr]
196	flistxattr	A	passthrough: sys_call_table[nr]
197	removexattr	A	passthrough: sys_call_table[nr]
198	lremovexattr	A	passthrough: sys_call_table[nr]
199	fremovexattr	A	passthrough: sys_call_table[nr]
200	tkill	A	passthrough: sys_call_table[nr]
201	time	E	gadget fast path: in-guest LSTAR handler, fallback is passthrough
202	futex	A	passthrough: sys_call_table[nr]
203	sched_setaffinity	A	passthrough: sys_call_table[nr]
204	sched_getaffinity	A	passthrough: sys_call_table[nr]
205	set_thread_area	D	trap: 32-bit compat set_thread_area; unreachable from 64-bit glibc (audit round-5 F10)
206	io_setup	A	passthrough: sys_call_table[nr]
207	io_destroy	A	passthrough: sys_call_table[nr]
208	io_getevents	A	passthrough: sys_call_table[nr]
